ordinal,id,ship_name,rarity,nation,type,health,firepower,aa,torpedo,evasion,air_power,fuel_consumption,reload,armor,speed,asw,oxygen,ammo,slot_1_modifier,slot_1_equipment,slot_1_effective,slot_2_modifier,slot_2_equipment,slot_2_effective,slot_3_modifier,slot_3_equipment,slot_3_effective
30,093,Grenville,rare/elite,Royal Navy,DD,1265.0,74.0,143.0,324.0,204.0,0.0,9.0,175.0,Light,43.0,195.0,0.0,0.0,1.35,DD Main Guns,99.9,1.3,Torpedoes,421.2,1.05,Anti-Air Guns,150.15
31,094,Glowworm,rare/elite,Royal Navy,DD,1177.0,69.0,143.0,330.0,204.0,0.0,9.0,175.0,Light,43.0,195.0,0.0,0.0,1.3,DD Main Guns,89.7,1.35,Torpedoes,445.50000000000006,1.05,Anti-Air Guns,150.15
32,101,Javelin,rare/elite,Royal Navy,DD,1317.0,70.0,139.0,334.0,204.0,0.0,9.0,180.0,Light,43.0,195.0,0.0,0.0,1.25,DD Main Guns,87.5,1.45,Torpedoes,484.3,1.05,Anti-Air Guns,145.95000000000002
33,102,Juno,rare/elite,Royal Navy,DD,1280.0,66.0,135.0,324.0,204.0,0.0,8.0,175.0,Light,43.0,190.0,0.0,0.0,1.2,DD Main Guns,79.2,1.4,Torpedoes,453.59999999999997,1.05,Anti-Air Guns,141.75
34,103,Vampire,rare/elite,Royal Navy,DD,1095.0,62.0,135.0,335.0,190.0,0.0,9.0,171.0,Light,40.0,187.0,0.0,0.0,1.15,DD Main Guns,71.3,1.45,Torpedoes,485.75,1.05,Anti-Air Guns,141.75
35,151,Fubuki,rare/elite,Sakura Empire,DD,1498.0,54.0,127.0,463.0,185.0,0.0,9.0,186.0,Light,45.0,175.0,0.0,0.0,0.75,DD Main Guns,40.5,1.6,Torpedoes,740.8000000000001,0.75,Anti-Air Guns,95.25
36,155,Ayanami,rare/elite,Sakura Empire,DD,1498.0,57.0,127.0,463.0,188.0,0.0,9.0,186.0,Light,45.0,183.0,0.0,0.0,0.85,DD Main Guns,48.449999999999996,1.65,Torpedoes,763.9499999999999,0.75,Anti-Air Guns,95.25
37,159,Akatsuki,rare/elite,Sakura Empire,DD,1456.0,52.0,130.0,448.0,188.0,0.0,8.0,183.0,Light,45.0,171.0,0.0,0.0,0.75,DD Main Guns,39.0,1.5,Torpedoes,672.0,0.75,Anti-Air Guns,97.5
38,161,Ikazuchi,rare/elite,Sakura Empire,DD,1456.0,52.0,130.0,448.0,188.0,0.0,8.0,183.0,Light,45.0,152.0,0.0,0.0,0.75,DD Main Guns,39.0,1.5,Torpedoes,672.0,0.75,Anti-Air Guns,97.5
39,162,Inazuma,rare/elite,Sakura Empire,DD,1456.0,52.0,130.0,448.0,188.0,0.0,8.0,183.0,Light,45.0,152.0,0.0,0.0,0.75,DD Main Guns,39.0,1.5,Torpedoes,672.0,0.75,Anti-Air Guns,97.5
40,163,Shiratsuyu,rare/elite,Sakura Empire,DD,1427.0,56.0,130.0,463.0,184.0,0.0,8.0,171.0,Light,40.0,147.0,0.0,0.0,0.75,DD Main Guns,42.0,1.5,Torpedoes,694.5,0.75,Anti-Air Guns,97.5
41,164,Yuudachi,super rare,Sakura Empire,DD,1524.0,61.0,136.0,495.0,184.0,0.0,10.0,197.0,Light,40.0,180.0,0.0,0.0,0.85,DD Main Guns,51.85,1.5,Torpedoes,742.5,0.85,Anti-Air Guns,115.6
42,165,Shigure,rare/elite,Sakura Empire,DD,1469.0,57.0,131.0,477.0,184.0,0.0,9.0,184.0,Light,40.0,162.0,0.0,0.0,0.75,DD Main Guns,42.75,1.5,Torpedoes,715.5,0.75,Anti-Air Guns,98.25
43,166,Yukikaze,super rare,Sakura Empire,DD,1855.0,59.0,140.0,478.0,186.0,0.0,10.0,194.0,Light,42.0,190.0,0.0,0.0,0.75,DD Main Guns,44.25,1.5,Torpedoes,717.0,0.75,Anti-Air Guns,105.0
44,167,Kagerou,rare/elite,Sakura Empire,DD,1571.0,56.0,130.0,466.0,186.0,0.0,8.0,175.0,Light,42.0,169.0,0.0,0.0,0.8,DD Main Guns,44.800000000000004,1.55,Torpedoes,722.3000000000001,0.75,Anti-Air Guns,97.5
45,168,Shiranui,common,Sakura Empire,DD,1540.0,55.0,126.0,456.0,186.0,0.0,7.0,171.0,Light,42.0,155.0,0.0,0.0,0.8,DD Main Guns,44.0,1.65,Torpedoes,752.4,0.75,Anti-Air Guns,94.5
46,170,Nowaki,rare/elite,Sakura Empire,DD,1787.0,57.0,134.0,478.0,185.0,0.0,9.0,183.0,Light,42.0,172.0,0.0,0.0,0.8,DD Main Guns,45.6,1.55,Torpedoes,740.9,0.75,Anti-Air Guns,100.5
47,171,Hatsuharu,rare/elite,Sakura Empire,DD,1477.0,51.0,126.0,435.0,186.0,0.0,8.0,171.0,Light,43.0,169.0,0.0,0.0,0.75,DD Main Guns,38.25,1.5,Torpedoes,652.5,0.75,Anti-Air Guns,94.5
48,173,Wakaba,rare/elite,Sakura Empire,DD,1477.0,51.0,126.0,435.0,186.0,0.0,8.0,171.0,Light,43.0,169.0,0.0,0.0,0.75,DD Main Guns,38.25,1.5,Torpedoes,652.5,0.75,Anti-Air Guns,94.5
49,174,Hatsushimo,rare/elite,Sakura Empire,DD,1477.0,51.0,126.0,435.0,186.0,0.0,8.0,171.0,Light,43.0,169.0,0.0,0.0,0.75,DD Main Guns,38.25,1.5,Torpedoes,652.5,0.75,Anti-Air Guns,94.5
50,175,Ariake,rare/elite,Sakura Empire,DD,1477.0,51.0,126.0,435.0,186.0,0.0,8.0,171.0,Light,43.0,169.0,0.0,0.0,0.75,DD Main Guns,38.25,1.5,Torpedoes,652.5,0.75,Anti-Air Guns,94.5
51,176,Yuugure,rare/elite,Sakura Empire,DD,1350.0,51.0,126.0,435.0,187.0,0.0,8.0,171.0,Light,44.0,169.0,0.0,0.0,0.75,DD Main Guns,38.25,1.5,Torpedoes,652.5,0.75,Anti-Air Guns,94.5
52,177,Kuroshio,rare/elite,Sakura Empire,DD,1736.0,56.0,130.0,466.0,185.0,0.0,8.0,175.0,Light,42.0,169.0,0.0,0.0,0.75,DD Main Guns,42.0,1.5,Torpedoes,699.0,0.75,Anti-Air Guns,97.5
53,178,Oyashio,rare/elite,Sakura Empire,DD,1736.0,56.0,130.0,466.0,185.0,0.0,8.0,175.0,Light,42.0,169.0,0.0,0.0,0.75,DD Main Guns,42.0,1.5,Torpedoes,699.0,0.75,Anti-Air Guns,97.5
54,233,Z1,rare/elite,Ironblood,DD,1725.0,57.0,134.0,407.0,143.0,0.0,9.0,180.0,Light,41.0,177.0,0.0,0.0,1.25,DD Main Guns,71.25,1.4,Torpedoes,569.8,0.75,Anti-Air Guns,100.5
55,236,Z23,rare/elite,Ironblood,DD,1786.0,104.0,131.0,289.0,152.0,0.0,9.0,173.0,Light,42.0,181.0,0.0,0.0,1.75,DD/CL Main Guns,182.0,1.2,Torpedoes,346.8,0.85,Anti-Air Guns,111.35
56,237,Z25,rare/elite,Ironblood,DD,1778.0,104.0,134.0,289.0,150.0,0.0,9.0,165.0,Light,43.0,181.0,0.0,0.0,1.6,DD/CL Main Guns,166.4,1.2,Torpedoes,346.8,0.75,Anti-Air Guns,100.5
57,253,An Shan,rare/elite,Eastern Radiance,DD,1897.0,114.0,149.0,198.0,159.0,0.0,9.0,175.0,Light,45.0,180.0,0.0,0.0,1.55,DD Main Guns,176.70000000000002,1.0,Torpedoes,198.0,1.05,Anti-Air Guns,156.45000000000002
58,254,Fu Shun,rare/elite,Eastern Radiance,DD,1897.0,111.0,151.0,201.0,159.0,0.0,9.0,175.0,Light,45.0,180.0,0.0,0.0,1.55,DD Main Guns,172.05,1.0,Torpedoes,201.0,1.05,Anti-Air Guns,158.55
59,255,Chang Chun,rare/elite,Eastern Radiance,DD,1897.0,114.0,149.0,198.0,159.0,0.0,9.0,173.0,Light,45.0,180.0,0.0,0.0,1.55,DD Main Guns,176.70000000000002,1.0,Torpedoes,198.0,1.05,Anti-Air Guns,156.45000000000002
60,256,Tai Yuan,rare/elite,Eastern Radiance,DD,1897.0,111.0,151.0,199.0,159.0,0.0,9.0,173.0,Light,45.0,180.0,0.0,0.0,1.55,DD Main Guns,172.05,1.0,Torpedoes,199.0,1.05,Anti-Air Guns,158.55
61,263,Bailey,rare/elite,Eagle Union,DD,1521.0,76.0,149.0,282.0,156.0,0.0,8.0,178.0,Light,44.0,173.0,0.0,0.0,1.35,DD Main Guns,102.60000000000001,1.35,Torpedoes,380.70000000000005,1.25,Anti-Air Guns,186.25
62,264,Z19,rare/elite,Ironblood,DD,1708.0,59.0,129.0,398.0,143.0,0.0,8.0,175.0,Light,43.0,173.0,0.0,0.0,1.15,DD Main Guns,67.85,1.4,Torpedoes,557.1999999999999,0.75,Anti-Air Guns,96.75
63,265,Z20,common,Ironblood,DD,1675.0,57.0,126.0,391.0,143.0,0.0,7.0,171.0,Light,43.0,170.0,0.0,0.0,1.15,DD Main Guns,65.55,1.4,Torpedoes,547.4,0.75,Anti-Air Guns,94.5
64,266,Z21,common,Ironblood,DD,1675.0,57.0,126.0,391.0,143.0,0.0,7.0,171.0,Light,43.0,171.0,0.0,0.0,1.15,DD Main Guns,65.55,1.4,Torpedoes,547.4,0.75,Anti-Air Guns,94.5
65,267,Z46,super rare,Ironblood,DD,2237.0,78.0,222.0,410.0,146.0,0.0,10.0,184.0,Light,43.0,190.0,0.0,0.0,1.6,DD Main Guns,124.80000000000001,1.2,Torpedoes,492.0,1.4,Anti-Air Guns,310.79999999999995
66,269,Kamikaze,rare/elite,Sakura Empire,DD,1301.0,52.0,121.0,362.0,187.0,0.0,7.0,182.0,Light,44.0,183.0,0.0,0.0,0.75,DD Main Guns,39.0,1.45,Torpedoes,524.9,0.8,Anti-Air Guns,96.80000000000001
67,270,Matsukaze,rare/elite,Sakura Empire,DD,1301.0,51.0,113.0,362.0,184.0,0.0,7.0,176.0,Light,44.0,167.0,0.0,0.0,0.75,DD Main Guns,38.25,1.45,Torpedoes,524.9,0.8,Anti-Air Guns,90.4
68,271,Mutsuki,common,Sakura Empire,DD,1239.0,51.0,120.0,385.0,187.0,0.0,7.0,171.0,Light,44.0,162.0,0.0,0.0,0.75,DD Main Guns,38.25,1.5,Torpedoes,577.5,0.8,Anti-Air Guns,96.0
69,272,Kisaragi,common,Sakura Empire,DD,1239.0,51.0,120.0,385.0,187.0,0.0,7.0,171.0,Light,44.0,160.0,0.0,0.0,0.75,DD Main Guns,38.25,1.45,Torpedoes,558.25,0.75,Anti-Air Guns,90.0
70,274,Uzuki,common,Sakura Empire,DD,1239.0,51.0,120.0,385.0,187.0,0.0,7.0,171.0,Light,44.0,162.0,0.0,0.0,0.75,DD Main Guns,38.25,1.45,Torpedoes,558.25,0.75,Anti-Air Guns,90.0
71,276,Minazuki,common,Sakura Empire,DD,1239.0,51.0,120.0,385.0,187.0,0.0,7.0,171.0,Light,44.0,150.0,0.0,0.0,0.75,DD Main Guns,38.25,1.45,Torpedoes,558.25,0.75,Anti-Air Guns,90.0
72,277,Fumizuki,rare/elite,Sakura Empire,DD,1263.0,52.0,112.0,396.0,187.0,0.0,8.0,175.0,Light,44.0,165.0,0.0,0.0,0.75,DD Main Guns,39.0,1.45,Torpedoes,574.1999999999999,0.75,Anti-Air Guns,84.0
73,278,Nagatsuki,rare/elite,Sakura Empire,DD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,DD Main Guns,0.0,0.0,Torpedoes,0.0,0.0,Anti-Air Guns,0.0
74,280,Mikazuki,common,Sakura Empire,DD,1239.0,51.0,120.0,385.0,187.0,0.0,7.0,171.0,Light,44.0,164.0,0.0,0.0,0.75,DD Main Guns,38.25,1.45,Torpedoes,558.25,0.75,Anti-Air Guns,90.0
75,288,Kawakaze,super rare,Sakura Empire,DD,1525.0,60.0,140.0,495.0,184.0,0.0,10.0,188.0,Light,40.0,180.0,0.0,0.0,0.85,DD Main Guns,51.0,1.5,Torpedoes,742.5,0.85,Anti-Air Guns,119.0
76,295,Niizuki,rare/elite,Sakura Empire,DD,2037.0,66.0,168.0,330.0,174.0,0.0,9.0,183.0,Light,39.0,180.0,0.0,0.0,1.0,DD Main Guns,66.0,1.35,Torpedoes,445.50000000000006,1.35,Anti-Air Guns,226.8
77,296,Harutsuki,rare/elite,Sakura Empire,DD,2037.0,65.0,169.0,323.0,174.0,0.0,9.0,183.0,Light,39.0,187.0,0.0,0.0,1.0,DD Main Guns,65.0,1.35,Torpedoes,436.05,1.35,Anti-Air Guns,228.15
78,297,Yoizuki,rare/elite,Sakura Empire,DD,2037.0,65.0,173.0,323.0,174.0,0.0,9.0,183.0,Light,39.0,180.0,0.0,0.0,1.0,DD Main Guns,65.0,1.35,Torpedoes,436.05,1.35,Anti-Air Guns,233.55
79,299,Radford,rare/elite,Eagle Union,DD,1712.0,74.0,150.0,248.0,157.0,0.0,8.0,175.0,Light,45.0,186.0,0.0,0.0,1.2,DD Main Guns,88.8,1.3,Torpedoes,322.40000000000003,1.3,Anti-Air Guns,195.0
80,300,Jenkins,rare/elite,Eagle Union,DD,1733.0,74.0,150.0,248.0,156.0,0.0,8.0,175.0,Light,43.0,186.0,0.0,0.0,1.2,DD Main Guns,88.8,1.3,Torpedoes,322.40000000000003,1.3,Anti-Air Guns,195.0
81,301,Nicholas,rare/elite,Eagle Union,DD,1762.0,76.0,154.0,255.0,154.0,0.0,9.0,180.0,Light,42.0,192.0,0.0,0.0,1.4,DD Main Guns,106.39999999999999,1.4,Torpedoes,357.0,1.3,Anti-Air Guns,200.20000000000002
82,306,Jupiter,rare/elite,Royal Navy,DD,1280.0,66.0,135.0,324.0,204.0,0.0,8.0,175.0,Light,43.0,190.0,0.0,0.0,1.2,DD Main Guns,79.2,1.4,Torpedoes,453.59999999999997,1.05,Anti-Air Guns,141.75
83,307,Jersey,rare/elite,Royal Navy,DD,1280.0,66.0,135.0,324.0,204.0,0.0,8.0,175.0,Light,43.0,190.0,0.0,0.0,1.2,DD Main Guns,79.2,1.4,Torpedoes,453.59999999999997,1.05,Anti-Air Guns,141.75
84,316,Urakaze,rare/elite,Sakura Empire,DD,1736.0,55.0,129.0,456.0,185.0,0.0,8.0,175.0,Light,42.0,147.0,0.0,0.0,0.75,DD Main Guns,41.25,1.5,Torpedoes,684.0,0.75,Anti-Air Guns,96.75
85,317,Isokaze,rare/elite,Sakura Empire,DD,1736.0,57.0,130.0,456.0,185.0,0.0,8.0,175.0,Light,42.0,178.0,0.0,0.0,0.75,DD Main Guns,42.75,1.5,Torpedoes,684.0,0.75,Anti-Air Guns,97.5
86,318,Hamakaze,rare/elite,Sakura Empire,DD,1736.0,56.0,130.0,466.0,185.0,0.0,8.0,175.0,Light,42.0,168.0,0.0,0.0,0.8,DD Main Guns,44.800000000000004,1.65,Torpedoes,768.9,0.75,Anti-Air Guns,97.5
87,319,Tanikaze,rare/elite,Sakura Empire,DD,1736.0,56.0,134.0,466.0,185.0,0.0,8.0,171.0,Light,42.0,147.0,0.0,0.0,0.8,DD Main Guns,44.800000000000004,1.65,Torpedoes,768.9,0.75,Anti-Air Guns,100.5
88,325,Matchless,rare/elite,Royal Navy,DD,1402.0,66.0,136.0,353.0,204.0,0.0,9.0,175.0,Light,43.0,202.0,0.0,0.0,1.2,DD Main Guns,79.2,1.45,Torpedoes,511.84999999999997,1.0,Anti-Air Guns,136.0
89,326,Musketeer,rare/elite,Royal Navy,DD,1402.0,66.0,136.0,358.0,204.0,0.0,9.0,175.0,Light,43.0,202.0,0.0,0.0,1.2,DD Main Guns,79.2,1.45,Torpedoes,519.1,1.0,Anti-Air Guns,136.0
90,331,Asashio,rare/elite,Sakura Empire,DD,1614.0,54.0,130.0,461.0,185.0,0.0,8.0,171.0,Light,42.0,170.0,0.0,0.0,0.75,DD Main Guns,40.5,1.5,Torpedoes,691.5,0.75,Anti-Air Guns,97.5
91,332,Ooshio,rare/elite,Sakura Empire,DD,1614.0,54.0,130.0,463.0,185.0,0.0,8.0,171.0,Light,42.0,153.0,0.0,0.0,0.75,DD Main Guns,40.5,1.5,Torpedoes,694.5,0.75,Anti-Air Guns,97.5
92,333,Michishio,rare/elite,Sakura Empire,DD,1636.0,54.0,131.0,463.0,185.0,0.0,8.0,171.0,Light,42.0,170.0,0.0,0.0,0.75,DD Main Guns,40.5,1.5,Torpedoes,694.5,0.75,Anti-Air Guns,98.25
93,334,Arashio,rare/elite,Sakura Empire,DD,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Light,0.0,0.0,0.0,0.0,0.75,DD Main Guns,0.0,1.5,Torpedoes,0.0,0.75,Anti-Air Guns,0.0
94,345,Z35,rare/elite,Ironblood,DD,1758.0,70.0,158.0,398.0,153.0,0.0,9.0,175.0,Light,43.0,183.0,0.0,0.0,1.5,DD Main Guns,105.0,1.2,Torpedoes,477.59999999999997,1.25,Anti-Air Guns,197.5
95,346,Z18,rare/elite,Ironblood,DD,1708.0,59.0,129.0,398.0,143.0,0.0,8.0,175.0,Light,43.0,173.0,0.0,0.0,1.15,DD Main Guns,67.85,1.4,Torpedoes,557.1999999999999,0.75,Anti-Air Guns,96.75
96,347,Le Triomphant,super rare,Iris Libre,DD,1684.0,114.0,145.0,233.0,206.0,0.0,10.0,180.0,Light,54.0,187.0,0.0,0.0,1.4,DD Main Guns,159.6,1.25,Torpedoes,291.25,1.4,Anti-Air Guns,203.0
97,348,Forbin,rare/elite,Iris Libre,DD,1147.0,60.0,120.0,368.0,193.0,0.0,8.0,168.0,Light,39.0,170.0,0.0,0.0,1.2,DD Main Guns,72.0,1.45,Torpedoes,533.6,0.8,Anti-Air Guns,96.0
98,351,Le Mars,rare/elite,Vichya Dominion,DD,1147.0,60.0,120.0,368.0,193.0,0.0,8.0,168.0,Light,39.0,168.0,0.0,0.0,1.2,DD Main Guns,72.0,1.45,Torpedoes,533.6,0.8,Anti-Air Guns,96.0
99,355,Bush,rare/elite,Eagle Union,DD,1712.0,74.0,164.0,247.0,154.0,0.0,8.0,175.0,Light,42.0,186.0,0.0,0.0,1.2,DD Main Guns,88.8,1.3,Torpedoes,321.1,1.35,Anti-Air Guns,221.4
100,359,Le Temeraire,rare/elite,Iris Libre,DD,1309.0,81.0,150.0,353.0,182.0,0.0,9.0,167.0,Light,42.0,168.0,0.0,0.0,1.3,DD Main Guns,105.3,1.15,Torpedoes,405.95,0.75,Anti-Air Guns,112.5
101,362,Hobby,rare/elite,Eagle Union,DD,1521.0,76.0,149.0,282.0,157.0,0.0,8.0,178.0,Light,45.0,192.0,0.0,0.0,1.3,DD Main Guns,98.8,1.3,Torpedoes,366.6,1.25,Anti-Air Guns,186.25
102,363,Kalk,rare/elite,Eagle Union,DD,1521.0,76.0,149.0,282.0,157.0,0.0,8.0,178.0,Light,45.0,174.0,0.0,0.0,1.3,DD Main Guns,98.8,1.3,Torpedoes,366.6,1.25,Anti-Air Guns,186.25
103,365,Hazelwood,rare/elite,Eagle Union,DD,1712.0,74.0,150.0,248.0,154.0,0.0,8.0,171.0,Light,42.0,198.0,0.0,0.0,1.2,DD Main Guns,88.8,1.3,Torpedoes,322.40000000000003,1.3,Anti-Air Guns,195.0
104,369,Hatakaze,rare/elite,Sakura Empire,DD,1301.0,52.0,121.0,362.0,187.0,0.0,7.0,176.0,Light,44.0,169.0,0.0,0.0,0.75,DD Main Guns,39.0,1.4,Torpedoes,506.79999999999995,0.75,Anti-Air Guns,90.75
105,370,Makinami,rare/elite,Sakura Empire,DD,1798.0,61.0,135.0,478.0,185.0,0.0,9.0,187.0,Light,42.0,174.0,0.0,0.0,0.8,DD Main Guns,48.800000000000004,1.55,Torpedoes,740.9,0.75,Anti-Air Guns,101.25
106,374,Kimberly,rare/elite,Eagle Union,DD,1712.0,72.0,158.0,248.0,154.0,0.0,8.0,175.0,Light,42.0,186.0,0.0,0.0,0.0,DD Main Guns,0.0,0.0,Torpedoes,0.0,0.0,Anti-Air Guns,0.0
